ano,mes,tipo,formulario,metrica,unidades,monto_dolar,monto_local
2014,6,Otros, Marchamos ,real,8033,24077.08,13144478.16
2014,6, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,504,1511.35,825094.56
2014,6, Exportaci▋ , Certificado Origen C.E.E. ,real,0,0,0
2014,6, Exportaci▋ , Certificado Origen S.G.P. ,real,963,2895.38,1580682.42
2014,6, Exportaci▋ , Registro Exportador Electr南ico ,real,302,905.77,494491.92
2014,6, Exportaci▋ , Registros Exportadores ,real,46,138.01,75342.33
2014,6, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,286,852.65,465487.98
2014,6, Exportaci▋ ,Certificado EUR-1,real,3163,9491.08,5181498.36
2014,6, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,48,144.36,78811.2
2014,6, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,148,146.38,79911.12
2014,6, Importaci▋ , Declaraci南 Valor Aduanas ,real,13329,3331.93,1819010.82
2014,6, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,114,341.1,186218.22
2014,6, Exportaci▋ , Declaraci南 Aduanera Exportaci南 ,real,0,0,0
2014,6,Exportaci▋,Formulario Aduanero Unico Centroamericano,real,1,3.01,1642.44
2014,6, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,0,0,0
2014,6, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,650,1946.28,1062536.85
2014,6,Costo,Costo de ventas,real,,-4512.86,-2427004.5
2014,7,Otros, Declaraci南 Unica Aduanera (TICA) ,real,68262.1,204786.29,109146625.1
2014,7,Otros,Derechos Electr南icos (FAD),real,23922,71739.67,38271134.19
2014,7,Otros, Marchamos ,real,10004,30017.39,16013446.89
2014,7, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,278,835.62,445779.33
2014,7, Exportaci▋ , Certificado Origen C.E.E. ,real,,0,0
2014,7, Exportaci▋ , Certificado Origen S.G.P. ,real,888,2665.4,1421917.32
2014,7, Exportaci▋ , Registro Exportador Electr南ico ,real,298,893.28,476540.85
2014,7, Exportaci▋ , Registros Exportadores ,real,9,27.03,14420.1
2014,7, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,347,1039.84,554726.13
2014,7, Exportaci▋ ,Certificado EUR-1,real,3502,10522.3,5613357.66
2014,7, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,86,258.26,137776.83
2014,7, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,387,386.98,206443.11
2014,7, Importaci▋ , Declaraci南 Valor Aduanas ,real,15913,3976.01,2121092.28
2014,7, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,201,602.76,321553.47
2014,7, Exportaci▋ , Declaraci南 Aduanera Exportaci南 ,real,25,74.76,39885
2014,7, Exportaci▋ ,Formulario Aduanero Unico Centroamericano,real,,0,
2014,7, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,30,30.03,16021.2
2014,7, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,892,2681.93,1430733.99
2014,7, Exportaci▋ , Certificado de Orign EFTA-EUR ,real,1,3.02,1608.96
2014,7,Costo,Costo de ventas,real,,-5608.74,-3020438.06
2014,8,Otros, Declaraci南 Unica Aduanera (TICA) ,real,66777.12,200331.35,107032953.7
2014,8,Otros,Derechos Electr南icos (FAD),real,23914,71740,38325036.96
2014,8,Otros, Marchamos ,real,9926,29779.19,15908675.97
2014,8, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,201,603.06,322167.87
2014,8, Exportaci▋ , Certificado Origen S.G.P. ,real,644,1933.69,1033019.28
2014,8, Exportaci▋ , Registro Exportador Electr南ico ,real,292,875.99,467973.09
2014,8, Exportaci▋ , Registros Exportadores ,real,6,18,9617.91
2014,8, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,315,945.15,504920.94
2014,8, Exportaci▋ ,Certificado EUR-1,real,3426,10277.97,5490712.38
2014,8, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,80,240.04,128235.9
2014,8, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,20,20.01,10688.6
2014,8, Importaci▋ , Declaraci南 Valor Aduanas ,real,11701,2925.59,1562912.42
2014,8, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,129,387.02,206753.37
2014,8, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,60,60.01,32058.9
2014,8, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,610,1830.16,977712
2014,8, Exportaci▋ , Certificado de Orign EFTA-EUR ,real,34,102.01,54495.24
2014,8,Costo,Costo de ventas,real,,-5427.03,-2906531.31
2014,9,Otros, Declaraci南 Unica Aduanera (TICA) ,real,70639.47,211918.4,113263921.3
2014,9,Otros,Derechos Electr南icos (FAD),real,24739,74215.64,39654071.34
2014,9,Otros, Marchamos ,real,10045,30136.4,16102142.22
2014,9, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,277,831.02,444023.85
2014,9, Exportaci▋ , Certificado Origen S.G.P. ,real,386,1157.98,618720.15
2014,9, Exportaci▋ , Registro Exportador Electr南ico ,real,312,935.92,500068.71
2014,9, Exportaci▋ , Registros Exportadores ,real,2,6,3205.53
2014,9, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,255,764.92,408702.18
2014,9, Exportaci▋ ,Certificado EUR-1,real,3465,10395.46,5554387.71
2014,9, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,40,120.03,64135.5
2014,9, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,386,386.04,206267.05
2014,9, Importaci▋ , Declaraci南 Valor Aduanas ,real,13413,3353.15,1791615.46
2014,9, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,99,296.99,158682.54
2014,9, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,50,50.01,26723.2
2014,9, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,890,2669.85,1426525.2
2014,9, Exportaci▋ , Certificado de Orign EFTA-EUR ,real,302,906.06,484117.98
2014,9,Costo,Costo de ventas,real,,-5587.83,-2989432.17
2014,10,Otros, Declaraci南 Unica Aduanera (TICA) ,real,104533.14,313599.41,167360888.9
2014,10,Otros,Derechos Electr南icos (FAD),real,25740,77217.93,41219958.63
2014,10,Otros, Marchamos ,real,8382,25148.05,13424363.67
2014,10, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,224,672.09,358770.12
2014,10, Exportaci▋ , Certificado Origen S.G.P. ,real,664,1992.97,1063874.16
2014,10, Exportaci▋ , Registro Exportador Electr南ico ,real,392,1175.96,627740.52
2014,10, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,205,615.12,328360.41
2014,10, Exportaci▋ ,Certificado EUR-1,real,3261,9783.85,5222749.89
2014,10, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,99,297.08,158585.04
2014,10, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,168,168.07,89718.72
2014,10, Importaci▋ , Declaraci南 Valor Aduanas ,real,12757,3189.65,1702677.08
2014,10, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,132,395.99,211386
2014,10, Exportaci▋ ,Declaraci南 Aduanera Exportaci南,real,21,63.01,33637.86
2014,10, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,30,30.01,16019.1
2014,10, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,838,2513.75,1341875.76
2014,10, Exportaci▋ , Certificado de Orign EFTA-EUR ,real,216,647.82,345812.52
2014,10,Costo,Costo de ventas,real,,-4702.05,-2514506.53
2014,11,Otros, Declaraci南 Unica Aduanera (TICA) ,real,74883.55,224650.66,119278336
2014,11,Otros,Derechos Electr南icos (FAD),real,23819,71439.34,37957015.86
2014,11,Otros, Marchamos ,real,11192,33588.38,17846115.06
2014,11, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,213,639.88,339980.07
2014,11, Exportaci▋ , Certificado Origen S.G.P. ,real,955,2864.48,1521950.49
2014,11, Exportaci▋ , Registro Exportador Electr南ico ,real,312,1027.78,546078.45
2014,11, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,158,474.31,252011.37
2014,11, Exportaci▋ ,Certificado EUR-1,real,4078,12236.24,6501335.94
2014,11, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,65,194.92,103564.65
2014,11, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,425,425.44,226044.34
2014,11, Importaci▋ , Declaraci南 Valor Aduanas ,real,15050,3763.29,1999505.97
2014,11, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,121,363.14,192944.58
2014,11, Exportaci▋ ,Declaraci南 Aduanera Exportaci南,real,,0,
2014,11, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,35,35.04,18619.65
2014,11, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,730,2188.7,1162893.45
2014,11, Exportaci▋ , Certificado de Orign EFTA-EUR ,real,360,1081.96,574865.55
2014,11,Costo,Costo de ventas,real,,-6185.68,-3307882.05
2014,11, Exportaci▋ , Registro Exportador Electr南ico ,real,-2,-6,-3200.34
2014,12,Otros, Declaraci南 Unica Aduanera (TICA) ,real,77793.11,233379.34,123821229.9
2014,12,Otros,Derechos Electr南icos (FAD),real,20661,61997.82,32768961.82
2014,12,Otros, Marchamos ,real,8682,26034.68,13760636.61
2014,12, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,161,482.73,255146.97
2014,12, Exportaci▋ , Certificado Origen S.G.P. ,real,875,2625.47,1387691.52
2014,12, Exportaci▋ , Registro Exportador Electr南ico ,real,203,516.86,273187.53
2014,12, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,229,687.31,363275.67
2014,12, Exportaci▋ ,Certificado EUR-1,real,4049,12146.49,6420030.57
2014,12, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,106,317.73,167934.96
2014,12, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,426,426.19,225263.86
2014,12, Importaci▋ , Declaraci南 Valor Aduanas ,real,10896,2722.15,1438794.42
2014,12, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,105,315.06,166526.19
2014,12, Exportaci▋ ,Declaraci南 Aduanera Exportaci南,real,0,0,0
2014,12, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,50,49.96,26407.5
2014,12, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,1012,3036.39,1604885.52
2014,12, Exportaci▋ , Certificado de Orign EFTA-EUR ,real,642,1923.91,1016884.02
2014,12,Costo,Costo de ventas,real,,-4934.65,-2638148.25
2015,1,Otros, Declaraci南 Unica Aduanera (TICA) ,presupuesto,51160.18,153480.55,85181702.95
2015,1,Otros,Derechos Electr南icos (FAD),presupuesto,24849.25,74547.75,41374001.25
2015,1,Otros, Marchamos ,presupuesto,8914.25,26742.75,14842226.25
2015,1, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,presupuesto,317,951,527805
2015,1, Exportaci▋ , Certificado Origen S.G.P. ,presupuesto,1316,3948,2191140
2015,1, Exportaci▋ , Certificado EUR-1 ,presupuesto,4650,13950,7742250
2015,1, Exportaci▋ , EFTA-EUR ,presupuesto,45,135,74925
2015,1, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,presupuesto,1929,5787,3211785
2015,1, Exportaci▋ , Registro Exportador Electr南ico ,presupuesto,380,1140,632700
2015,1, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,presupuesto,281,843,467865
2015,1, Importaci▋ , Declaraci南 Aduanera Importaci南 ,presupuesto,30,90,49950
2015,1, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,presupuesto,280,280,155400
2015,1, Importaci▋ , Declaraci南 Valor Aduanas ,presupuesto,18346,4586.5,2545507.5
2015,1, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,presupuesto,251,753,417915
2015,1, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,presupuesto,44,44,24420
2015,1,Costo,Costo de ventas,presupuesto,,-5051.53,-2803596.64
2015,1,Otros, Declaraci南 Unica Aduanera (TICA) ,real,50373.4,151120.19,80249941.4
2015,1,Otros,Derechos Electr南icos (FAD),real,28668,85995,45681979.68
2015,1,Otros, Marchamos ,real,7697,23091.13,12266395.62
2015,1, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,423,1267.72,673436.13
2015,1, Exportaci▋ , Certificado Origen S.G.P. ,real,625,1878.26,997763.34
2015,1, Exportaci▋ , Certificado EUR-1 ,real,3112,9341.03,4962110.73
2015,1, Exportaci▋ , EFTA-EUR ,real,126,377.63,200604.9
2015,1, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,796,2387.38,1268213.91
2015,1, Exportaci▋ , Registro Exportador Electr南ico ,real,459,1377.47,731733.15
2015,1, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,111,332.78,176778.39
2015,1, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,36,107.77,57246.81
2015,1, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,0,0,0
2015,1, Importaci▋ , Declaraci南 Valor Aduanas ,real,14037,3513.36,1866354.44
2015,1, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,130,390.18,207269.37
2015,1, Exportaci▋ ,Declaraci南 Aduanera Exportaci南,real,25,75.28,39987.75
2015,1, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,71,70.96,37694.63
2015,1, Exportaci▋ , Certificado de Orign China-Costa Rica ,real,150,448.88,238450.38
2015,1,Costo,Costo de ventas,real,,-4410.81,-2357993.57
2015,2,Otros, Declaraci南 Unica Aduanera (TICA) ,presupuesto,68146.5,204439.51,113463929.1
2015,2,Otros,Derechos Electr南icos (FAD),presupuesto,22241,66723,37031265
2015,2,Otros, Marchamos ,presupuesto,8689,26067,14467185
2015,2, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,presupuesto,273,819,454545
2015,2, Exportaci▋ , Certificado Origen S.G.P. ,presupuesto,1414,4242,2354310
2015,2, Exportaci▋ , Certificado EUR-1 ,presupuesto,2883,8649,4800195
2015,2, Exportaci▋ , EFTA-EUR ,presupuesto,54,162,89910
2015,2, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,presupuesto,269,807,447885
2015,2, Exportaci▋ , Registro Exportador Electr南ico ,presupuesto,318.5,955.5,530302.5
2015,2, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,presupuesto,240.5,721.5,400432.5
2015,2, Importaci▋ , Declaraci南 Aduanera Importaci南 ,presupuesto,148,444,246420
2015,2, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,presupuesto,305,305,169275
2015,2, Importaci▋ , Declaraci南 Valor Aduanas ,presupuesto,14773,3693.25,2049753.75
2015,2, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,presupuesto,442,1326,735930
2015,2, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,presupuesto,47,47,26085
2015,2,Costo,Costo de ventas,presupuesto,,-4709.92,-2614005.84
2015,2,Otros, Declaraci南 Unica Aduanera (TICA) ,real,72383.72,217151.15,115265066.5
2015,2,Otros,Derechos Electr南icos (FAD),real,22940,68837.61,36538537.05
