ano_saldo,mes_saldo,cuenta_contable_codigo,cuenta_contable,centro_costo_codigo,centro_costo,debito_fisc_local
2014,12,205-007-000-000,Activos Fijos,010-001-000,Convenio B.I.D. (SIVUCE Vr 2),5272200
2015,2,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,585000
2015,2,205-007-000-000,Activos Fijos,001-001-000,Gerencia General,1211043.6
2015,2,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,109300
2015,2,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,109300
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,425000
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,255000
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,255000
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,225000
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,245000
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,229005.75
2015,3,205-007-000-000,Activos Fijos,030-001-000,V.U.C.E.,229005.75
2015,3,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,137446.4
2015,3,205-007-000-000,Activos Fijos,040-002-003,OPC Chile,769132.93
